split,path,label,class_name
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.0.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.100.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1000.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10000.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10001.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10002.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10003.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10004.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10005.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10006.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10007.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10008.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10009.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1001.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10010.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10011.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10012.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10013.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10014.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10015.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10016.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10017.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10018.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10019.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1002.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10020.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10021.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10022.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10023.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10024.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10025.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10026.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10027.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10028.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10029.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1003.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10030.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10031.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10032.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10033.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10034.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10035.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10036.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10037.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10038.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10039.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1004.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10040.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10041.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10042.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10043.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10044.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10045.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10046.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10047.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10048.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10049.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1005.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10050.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10051.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10052.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10053.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10054.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10055.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10056.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10057.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10058.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10059.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1006.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10060.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10061.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10062.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10063.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10064.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10065.jpg,0,Cat
test,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10066.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10067.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10068.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10069.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1007.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10070.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10071.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10072.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10073.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10074.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10075.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10076.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10077.jpg,0,Cat
val,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10078.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10079.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.1008.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10080.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10081.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10082.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10083.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10084.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10085.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/cat.10086.jpg,0,Cat
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.0.jpg,1,Dog
test,doc/dogs-vs-cats-redux-kernels-edition/train/dog.1.jpg,1,Dog
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.10.jpg,1,Dog
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.100.jpg,1,Dog
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.1000.jpg,1,Dog
val,doc/dogs-vs-cats-redux-kernels-edition/train/dog.10000.jpg,1,Dog
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.10001.jpg,1,Dog
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.10002.jpg,1,Dog
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.10003.jpg,1,Dog
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.10004.jpg,1,Dog
train,doc/dogs-vs-cats-redux-kernels-edition/train/dog.10005.jpg,1,Dog
